PlotID,TreeID,CurrentX,CurrentY,Diameter_cm,Height_m
10016,1,420148.909728816,6483150.017634577,46.75,29.07388335745995
10016,2,420143.8980631929,6483148.686016132,45.6,28.769423999432764
10016,3,420146.16900799103,6483144.911349296,38.9,26.774192399208335
10016,4,420145.04421179206,6483142.027717296,33.8,24.947821306872523
10016,5,420148.63605439174,6483136.973781528,42.95,28.027934023894268
10015,1,420158.3095291876,6483160.417789783,37.4,26.268131299212822
10015,2,420161.0036900509,6483163.420471459,24.4,20.60552323335569
10015,3,420155.399581161,6483163.032575145,38.65,26.691517243772903
10015,4,420152.98108737706,6483162.444537886,35.75,25.68244238928122
10015,5,420143.8067898389,6483169.749485847,30.099999999999998,23.411808832072428
10015,6,420142.7987127962,6483168.169871753,34.7,25.292836242382386
10015,7,420141.570787453,6483158.4632245805,31.7,24.100393130361677
10015,8,420145.9641610078,6483156.326716026,37.4,26.268131299212822
10015,9,420148.7288803662,6483155.313588753,33.2,24.71190147807729
10014,1,420160.6842733459,6483173.587744398,39.1,26.839864354468936
10014,2,420161.2980291302,6483176.864847363,42.25,27.822161996542874
10014,3,420161.40766965906,6483184.413620704,8.8,8.824535926027224
10014,4,420161.39590547426,6483189.014062162,10.65,10.608034314062504
10014,5,420158.68278435525,6483188.899721469,10.15,10.135861269909825
10014,6,420153.38390267116,6483187.70074153,37.0,26.129020175275954
10014,7,420152.2719004101,6483186.009277379,42.3,27.83700391615881
10014,8,420149.6176032268,6483189.268219919,34.45,25.198044668437177
10014,9,420148.28557016025,6483180.796756765,34.8,25.330531160580605
10014,10,420147.8370587223,6483177.749423918,34.75,25.311699462741924
10014,11,420152.63803499757,6483179.151111046,29.849999999999998,23.30064194928465
10014,12,420153.8144565164,6483177.361074059,34.1,25.063991304916172
10014,13,420149.8951050399,6483171.482810371,40.85,27.397318199209995
10014,14,420151.4044682553,6483169.881585001,45.35,28.701896814083213
10014,15,420155.8626908177,6483172.177374971,28.4,22.635749545721836
10013,1,420162.33525464055,6483191.578599132,4.4,4.35726694804159
10013,2,420161.9733798777,6483192.641400456,8.95,8.972692696244973
10013,3,420161.8352212013,6483192.882465136,8.85,8.873985045265915
10013,4,420159.7891853639,6483193.408143127,7.55,7.569887652099654
10013,5,420159.0000024816,6483194.824225887,9.6,9.607801451460546
10013,6,420157.73662307113,6483195.693922653,5.05,5.0105111471020845
10013,7,420157.206179295,6483195.6379816085,7.5,7.5190666030855
10013,8,420156.53413205215,6483195.373118429,4.35,4.307672108553959
10013,9,420156.0885174719,6483199.866661314,48.35,29.481311951872705
10013,10,420155.5000657772,6483200.071171957,4.45,4.406971425883777
10013,11,420155.73289142153,6483200.439400444,6.05,6.033551418679966
10013,12,420156.67209837,6483200.3322075885,5.8,5.77677012225497
10013,13,420160.7161902951,6483200.85126491,37.15,26.181397746417165
10013,14,420159.5520424454,6483201.620199096,8.25,8.276609836284974
10013,15,420153.31756421627,6483204.978022976,8.55,8.576363318815192
10013,16,420153.0672653379,6483204.939937921,5.45,5.418126208865445
10013,17,420154.9527219177,6483205.645525255,6.05,6.033551418679966
10013,18,420155.11297534365,6483206.984337729,7.6,7.620667830626205
10013,19,420154.7709949825,6483206.726948078,11.85,11.709118267272512
10013,20,420157.18873256014,6483207.728469423,14.35,13.852342535543677
10013,21,420155.8246190319,6483209.808972796,36.5,25.952574818006962
10013,22,420153.63703665015,6483212.745804988,7.9,7.924429151969401
10013,23,420153.66818403447,6483212.8955709385,6.65,6.650077170939669
10013,24,420152.548791964,6483207.753989337,10.65,10.608034314062504
10013,25,420152.05206984177,6483206.877766114,7.9,7.924429151969401
10013,26,420150.74412701046,6483208.457824831,7.649999999999999,7.671406010873376
10013,27,420155.4535954548,6483214.901962242,5.95,5.9308020438354765
10013,28,420150.12760763353,6483216.752787391,39.9,27.09846837310032
10013,29,420150.0716381283,6483215.973192999,26.899999999999995,21.9098160186294
10013,30,420148.9237386984,6483216.251988443,10.9,10.841213804337396
10013,31,420148.4421648219,6483213.435592412,8.3,8.326709934165576
10013,32,420148.2486775089,6483214.287098524,17.35,16.16062238349307
10013,33,420148.1615125293,6483214.657776644,5.1,5.061283702982261
10013,34,420148.6041700857,6483211.084283351,21.55,18.95706929672069
